DATE,PCU3363233632
2017-01-01,106.9
2017-02-01,107.1
2017-03-01,107.4
2017-04-01,107.9
2017-05-01,108.1
2017-06-01,107.5
2017-07-01,107.5
2017-08-01,107.4
2017-09-01,107.5
2017-10-01,107.7
2017-11-01,107.6
2017-12-01,107.5
2018-01-01,107.4
2018-02-01,107.4
2018-03-01,107.5
2018-04-01,107.5
2018-05-01,107.6
2018-06-01,107.6
2018-07-01,107.6
2018-08-01,108.0
2018-09-01,107.7
2018-10-01,107.8
2018-11-01,107.9
2018-12-01,107.8
2019-01-01,107.8
2019-02-01,107.8
2019-03-01,107.8
2019-04-01,107.8
2019-05-01,107.8
2019-06-01,107.7
2019-07-01,108.0
2019-08-01,108.2
2019-09-01,108.2
2019-10-01,108.3
2019-11-01,108.3
2019-12-01,108.3
2020-01-01,108.3
2020-02-01,108.3
2020-03-01,108.2
2020-04-01,108.3
2020-05-01,108.4
2020-06-01,108.5
2020-07-01,108.4
2020-08-01,108.5
2020-09-01,108.1
2020-10-01,108.3
2020-11-01,108.3
2020-12-01,108.3
2021-01-01,108.4
2021-02-01,108.4
2021-03-01,108.5
2021-04-01,108.6
2021-05-01,109.5
2021-06-01,109.7
2021-07-01,110.060
2021-08-01,110.693
2021-09-01,110.996
2021-10-01,111.232
2021-11-01,114.812
2021-12-01,115.941
2022-01-01,116.360
2022-02-01,116.554
2022-03-01,116.414
2022-04-01,117.523
2022-05-01,117.339
2022-06-01,117.249
2022-07-01,117.388
2022-08-01,118.053
2022-09-01,120.067
2022-10-01,120.322
2022-11-01,120.357
2022-12-01,120.534
2023-01-01,121.054
2023-02-01,121.712
2023-03-01,121.586
2023-04-01,121.970
